FID,OBJECTID,osm_id,code,fclass,name,Shape_Leng,AREA,Shape__Area,Shape__Length
627,5777,443291255,8200,water, ,3910.914516,3910.914516,1.69E-06,0.012425912
628,5794,468643881,8200,water,Waterloo Reservoir,5220.867212,5220.867212,1.43E-05,0.015921407
629,5796,468696979,8200,water,Dunlap Lake,34762.69667,34762.69667,4.27E-05,0.108939494
630,5806,468842230,8200,water,Foley Park Lake,4719.549601,4719.549601,1.77E-06,0.015412782
631,5807,468842231,8200,water,Foley Park Lake,7263.6115,7263.6115,1.72E-06,0.02311043
632,5841,468963998,8200,water, ,5344.109894,5344.109894,4.66E-06,0.016448006
633,5847,469235017,8200,water,Grandview Lake,4400.851414,4400.851414,3.36E-06,0.013701264
634,5877,470072168,8200,water, ,5177.028493,5177.028493,4.23E-06,0.016548578
635,5886,478682335,8200,water,Kaskaskia River,12513.28576,12513.28576,1.81E-05,0.037739346
636,5894,482435621,8200,water, ,4203.605915,4203.605915,2.74E-06,0.013106357
637,5913,500540598,8200,water, ,3543.14881,3543.14881,3.85E-06,0.010813529
638,5916,500540601,8200,water, ,5161.593458,5161.593458,8.46E-06,0.015340211
639,5923,7395522,8200,water, ,6344.053739,6344.053739,3.30E-06,0.021053105
640,5930,508544729,8221,wetland, ,6585.228965,6585.228965,1.05E-05,0.0194934
641,5958,7415997,8221,wetland, ,24978.34519,24978.34519,6.22E-05,0.075291711
642,5959,7415997,8221,wetland, ,24978.34519,24978.34519,6.22E-05,0.075291711
643,5960,509309208,8200,water, ,9761.704856,9761.704856,8.22E-06,0.029780651
644,5961,509310763,8221,wetland, ,6924.30166,6924.30166,1.24E-05,0.019706279
